LandUseID,Name,Intensity
1,Agricultural-Aquaculture,0
2,Agricultural-Bush fruit and berries,0.66
3,Agricultural-Close Grown Crop,0.66
4,Agricultural-Fallow/Idle Cropland,0.33
5,Agricultural-Orchard,0.66
6,Agricultural-Pasture and Hayland,0.33
7,Agricultural-Row Crop,0.66
8,Agricultural-Row Crop-Close Grown Crop,0.66
9,Agricultural-Sugar cane,0.66
10,Agricultural-Vineyard,0.66
11,Agricultural-Wheat,0.66
12,Agriculture-Cultivated Crops and Irrigated Agriculture,0.66
13,Agriculture-Pasture and Hay,0.33
14,Alder Shrubland,0
15,Alpine Dwarf-Shrubland, Fell-field and Meadow,0
16,Alpine Floodplain,0
17,Alpine-Subalpine Barrens,0
18,Aspen Forest, Woodland, and Parkland,0
19,Aspen-Birch Forest,0
20,Aspen-Mixed Conifer Forest and Woodland,0
21,Atlantic Coastal Marsh,0
22,Atlantic Dunes and Grasslands,0
23,Atlantic Swamp Forests,0
24,Avalanche Slope Shrubland,0
25,Balsam Poplar-Aspen Woodland,0
26,Barren-Rock/Sand/Clay,0
27,Beach Meadow,0
28,Beech-Maple-Basswood Forest,0
29,Big Sagebrush Shrubland and Steppe,0
30,Bigtooth Maple Woodland,0
31,Birch-Aspen Forest,0
32,Black Oak Woodland and Savanna,0
33,Black Spruce Forest and Woodland,0
34,Blackbrush Shrubland,0
35,Boreal Grassland,0
36,Bur Oak Woodland and Savanna,0
37,California Mixed Evergreen Forest and Woodland,0
38,Caribbean Deciduous Forest,0
39,Caribbean Evergreen Forest,0
40,Caribbean Forested Wetland,0
41,Caribbean Herbaceous,0
42,Caribbean Mixed Evergreen Deciduous Forest,0
43,Caribbean Shrub/Herbaceous Wetland,0
44,Caribbean Shrubland,0
45,Chaparral,0
46,Chestnut Oak Forest and Woodland,0
47,Chestnut Oak-Virginia Pine Forest and Woodland,0
48,Coastal Plain Oak Forest,0
49,Conifer,0
50,Conifer-Hardwood,0
51,Conifer-Oak Forest and Woodland,0
52,Creosotebush Desert Scrub,0
53,Cypress,0
54,Deciduous Shrubland,0
55,Depressional Wetland,0
56,Desert Scrub,0
57,Developed-High Intensity,1
58,Developed-Low Intensity,1
59,Developed-Medium Intensity,1
60,Developed-Open Space,0
61,Developed-Roads,1
62,Developed-Upland Deciduous Forest,1
63,Developed-Upland Evergreen Forest,1
64,Developed-Upland Herbaceous,1
65,Developed-Upland Mixed Forest,1
66,Developed-Upland Shrubland,1
67,Douglas-fir Forest and Woodland,0
68,Douglas-fir-Grand Fir-White Fir Forest and Woodland,0
69,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,0
70,Douglas-fir-Western Hemlock Forest and Woodland,0
71,Dry Aspen-Steppe Bluff,0
72,Dry Tundra,0
73,Dwarf Shrubland,0
74,Eastern Floodplain Forests,0
75,Eastern Small Stream Riparian Forests,0
76,Fill-NoData,0
77,Fill-Not Mapped,0
78,Floodplain Forest and Shrubland,0
79,Freshwater Marsh,0
80,Glades and Barrens,0
81,Grassland,0
82,Grassland and Steppe,0
83,Greasewood Shrubland,0
84,Great Lakes Alvar,0
85,Hammocks,0
86,Hardwood,0
87,Hardwood Flatwoods,0
88,Hardwood-Conifer,0
89,Hawai'i Dry Forest,0
90,Hawai'i Dry Grassland,0
91,Hawai'i Dry Shrubland,0
92,Hawai'i Mesic Forest,0
93,Hawai'i Mesic Grassland,0
94,Hawai'i Mesic Shrubland,0
95,Hawai'i Rainforest,0
96,Hawai'i Riparian Forest,0
97,Hawai'i Riparian Shrubland,0
98,Heathland and Grassland,0
99,Herbaceous Meadow,0
100,Inland Marshes and Prairies,0
101,Introduced Annual and Biennial Forbland,0.33
102,Introduced Annual Grassland,0.33
103,Introduced Herbaceous Wetland Vegetation,0.33
104,Introduced Perennial Grassland and Forbland,0.33
105,Introduced Riparian Vegetation,0.33
106,Introduced Upland Vegetation-Shrub,0.33
107,Introduced Upland Vegetation-Treed,0.33
108,Introduced Woody Wetland Vegetation,0.33
109,Jack Pine Forest,0
110,Juniper Woodland and Savanna,0
111,Juniper-Oak,0
112,Limber Pine Woodland,0
113,Lodgepole Pine Forest and Woodland,0
114,Longleaf Pine Woodland,0
115,Low Sagebrush Shrubland and Steppe,0
116,Managed Tree Plantation,0.66
117,Mangrove,0
118,Maritime Forest,0
119,Mesquite Woodland and Scrub,0
120,Missing,0
121,Mixedgrass Prairie,0
122,Montane Oak Forest,0
123,Mountain Hemlock Forest and Woodland,0
124,Mountain Mahogany Woodland and Shrubland,0
125,Open Water,0
126,Pacific Coastal Scrub,0
127,Pacific Islands Limestone Forest,0
128,Pacific Islands Littoral/Strand Vegetation,0
129,Pacific Islands Lowland Forest,0
130,Pacific Islands Mangrove Forest,0
131,Pacific Islands Ravine Forest,0
132,Pacific Islands Scrub Forest/Shrub,0
133,Pacific Islands Swamp/Marsh,0
134,Pacific Islands Upland Forest,0
135,Peatland Forest,0
136,Peatland Forests,0
137,Peatland non-forest,0
138,Perennial Ice/Snow,0
139,Pine Flatwoods,0
140,Pine-Hemlock-Hardwood Forest,0
141,Pinyon-Juniper Shrubland,0
142,Pinyon-Juniper Woodland,0
143,Pitch Pine Woodlands,0
144,Pocosin,0
145,Polynesian Ruderal Forest,0
146,Polynesian Ruderal Grassland,0
147,Polynesian Ruderal Shrubland,0
148,"Ponderosa Pine Forest, Woodland and Savanna",0
149,Post Oak Woodland and Savanna,0
150,Prairies and Barrens,0
151,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,1
152,Red Alder Forest and Woodland,0
153,Red Fir Forest and Woodland,0
154,Red Pine-White Pine Forest and Woodland,0
155,Redwood Forest and Woodland,0
156,Riparian,0
157,Riparian Stringer Forest and Shrubland,0
158,Ruderal Forest,0.33
159,Salt Desert Scrub,0
160,Sand Prairie,0
161,Sand Shrubland,0
162,Savanna,0
163,Shortgrass Prairie,0
164,Shortleaf Pine Woodland,0
165,Shortleaf Pine-Oak Forest and Woodland,0
166,Shrub and Herbaceous Floodplain Wetland,0
167,Shrub and Herbaceous Peatlands,0
168,Shrub Swamp,0
169,Shrub Tundra,0
170,Shrubland,0
171,Sitka Spruce Forest,0
172,Snow-Ice,0
173,Southern Scrub Oak,0
174,Sparse,0
175,Sparse Tundra,0
176,Sparse Vegetation,0
177,Spruce Flats and Barrens,0
178,Spruce-Fir Forest and Woodland,0
179,Spruce-Fir-Hardwood Forest,0
180,Spruce-Lichen Woodland,0
181,Subalpine Woodland and Parkland,0
182,Succulent Desert Scrub,0
183,Sweetgum-Water Oak Forest,0
184,Tallgrass Prairie,0
185,Texas Live Oak,0
186,Tidal Flat,0
187,Tidal Marsh,0
188,Transitional Forest Vegetation,0
189,Transitional Herbaceous Vegetation,0
190,Transitional Shrub Vegetation,0
191,Tussock Tundra,0
192,Virginia Pine Forest,0
193,Western Hemlock-Silver Fir Forest,0
194,Western Hemlock-Yellow-cedar Forest,0
195,Western Herbaceous Wetland,0
196,Western Larch Forest and Woodland,0
197,Western Oak Woodland and Savanna,0
198,Western Red-cedar-Western Hemlock Forest,0
199,Western Riparian Woodland and Shrubland,0
200,Wet Meadow,0
201,White Oak-Beech Forest and Woodland,0
202,White Oak-Red Oak-Hickory Forest and Woodland,0
203,White Spruce Forest and Woodland,0
204,White Spruce-Hardwood Forest and Woodland,0
205,Willow Shrubland,0
206,Yellow Birch-Sugar Maple Forest,0
