ConversionID,TypeID,LevelID,DisplayCode,DisplayText
1,5,2,1,No Change (>90%)
2,5,3,1,Very Minor Change (<10%)
3,5,4,1,Minor Change (10-25%)
4,5,5,1,Moderate (25-50%) No Change
5,5,6,1,Significant (>50%) No Change
6,1,3,70,Very Minor Change (<10%)
7,1,4,71,Minor Change (10-25%)
8,1,5,72,Moderate (25-50%) From Conifer
9,1,6,73,Significant (>50%) From Conifer
10,2,3,70,Very Minor Change (<10%)
11,2,4,71,Minor Change (10-25%)
12,2,5,72,Moderate (25-50%) From Devegetated
13,2,6,73,Significant (>50%) From Devegetated
14,3,3,70,Very Minor Change (<10%)
15,3,4,71,Minor Change (10-25%)
16,3,5,72,Moderate (25-50%) From Grass Shrubland
17,3,6,73,Significant (>50%) From Grass Shrubland
18,4,3,70,Very Minor Change (<10%)
19,4,4,71,Minor Change (10-25%)
20,4,5,72,Moderate (25-50%) From Deciduous
21,4,6,73,Significant (>50%) From Deciduous
22,6,3,80,Very Minor Change (<10%)
23,6,4,81,Minor Change (10-25%)
24,6,5,82,Moderate (25-50%) Deciduous
25,6,6,83,Significant (>50%) Deciduous
26,7,2,10,No Change (>90%)
27,7,4,11,Minor Change (10-25%)
28,7,5,12,Moderate (25-50%) Grass Shrubland
29,7,6,13,Significant (>50%) Grass Shrubland
30,8,3,20,Very Minor Change (<10%)
31,8,4,21,Minor Change (10-25%)
32,8,5,22,Moderate (25-50%) Devegetation
33,8,6,23,Significant (>50%) Devegetation
34,9,3,30,Very Minor Change (<10%)
35,9,4,31,Minor Change (10-25%)
36,9,5,32,Moderate (25-50%) Conifer
37,9,6,33,Significant (>50%) Conifer
38,10,3,40,Very Minor Change (<10%)
39,10,4,41,Minor Change (10-25%)
40,10,5,42,Moderate (25-50%) Invasive
41,10,6,43,Significant (>50%) Invasive
42,11,3,50,Very Minor Change (<10%)
43,11,4,51,Minor Change (10-25%)
44,11,5,52,Moderate (25-50%) Development
45,11,6,53,Significant (>50%) Development
46,12,2,60,No Change (>90%)
47,12,4,61,Minor Change (10-25%)
48,12,5,62,Moderate (25-50%) Agriculture
49,12,6,63,Significant (>50%) Agriculture
50,14,3,70,Very Minor Change (<10%)
51,14,4,71,Minor Change (10-25%)
52,14,5,72,Moderate (25-50%) Riparian
53,14,6,73,Significant (>50%) Riparian
54,5,7,1,Unknown No Change
